epo_plate_longsword_stagger	8	b808725b-bbd7-4a93-9330-6d12768056db
epo_jerkin_longsword_brace	6	baeae08c-fef0-4ec4-ad12-b6386dbe4569
epo_jerkin_longsword_attack	8	71a6fb76-a857-42c2-8a36-97e86ac633aa
epo_jerkin_longsword_stagger	8	327a2376-82b7-45bf-9c05-8500b3952813
epo_plate_longsword_hit	6	08aeaede-8ad0-41e2-b4f4-823425392300
epo_jerkin_longsword_idle	8	e7abe774-1403-4e65-b7a9-0d0a22ff685f
epo_jerkin_longsword_hit	6	0287d574-8b51-49f1-8d3b-6b39fd33d148
epo_plate_longsword_idle	8	001847d5-4273-4329-aad7-21b5d9765059
epo_plate_longsword_attack	8	8468428a-4cb2-4c87-9469-234c43bf23d6
epo_plate_longsword_brace	6	f74e1fe5-1618-4757-b4c5-b835a559cec4
