# set	track	char_id	anim_dir_id	frames	dir
plate_bronze	idle	9ca3d53b-2d77-4434-8e29-a922f341c29c	e846b701-4acf-47cd-aa46-acf4a97debcc	8	east
plate_bronze	attack	9ca3d53b-2d77-4434-8e29-a922f341c29c	ac8d55a1-d89a-469d-9b75-288528ea2244	8	east
plate_bronze	hit	9ca3d53b-2d77-4434-8e29-a922f341c29c	4bfb1305-8404-43bf-b9d8-f9ac0f120c56	6	east
plate_steel	idle	bb29d583-464d-4fa2-973d-adbe1fcf45e0	f7f040ab-d6ab-454c-9fa1-a000c195962c	8	east
plate_steel	stagger	bb29d583-464d-4fa2-973d-adbe1fcf45e0	53f59057-842b-42a8-96bd-6ba2acf1c169	8	east
plate_unarmed	idle	4cc8f754-8df1-4071-a475-e5c6c581e5cb	eb7964f3-4dc2-4b1c-9506-8696a1c72b35	8	east
plate_unarmed	attack	4cc8f754-8df1-4071-a475-e5c6c581e5cb	847719d3-6aae-4e36-9f6b-3db2b096633a	8	east
plate_unarmed	hit	4cc8f754-8df1-4071-a475-e5c6c581e5cb	304b721e-fd3c-412d-b099-f8bf7f7dea7b	6	east
plate_unarmed	stagger	4cc8f754-8df1-4071-a475-e5c6c581e5cb	6014f4bb-8523-4547-9a9b-da2d51ee917f	8	east
plate_bronze	stagger	9ca3d53b-2d77-4434-8e29-a922f341c29c	7bc02a30-12c1-46dd-9ff3-05e28ce20f6e	8	east
jerkin_bronze	idle	faa01e81-2c31-45da-ae48-50b58722d13f	b43b76fd-f325-46f5-bc48-57d715a137c0	8	east
jerkin_bronze	attack	faa01e81-2c31-45da-ae48-50b58722d13f	9f42b9a3-5e51-466f-9a53-8c3fa5a563b7	8	east
jerkin_bronze	hit	faa01e81-2c31-45da-ae48-50b58722d13f	0996e6be-1776-4092-805e-0d82820f6d4d	6	east
jerkin_bronze	stagger	faa01e81-2c31-45da-ae48-50b58722d13f	08df174b-d71f-4e40-868d-9c4ae58d8d95	8	east
jerkin_steel	idle	cd55b885-82ae-4587-a44c-1c6b33f8815e	9a7f2241-d8ed-459f-88b6-ec0e31196f54	8	east
jerkin_steel	attack	cd55b885-82ae-4587-a44c-1c6b33f8815e	ef2d2374-415a-4938-8291-b0ca1a15fd3b	8	east
jerkin_steel	hit	cd55b885-82ae-4587-a44c-1c6b33f8815e	a28d3449-1936-4a09-92d8-5765639a73ed	6	east
jerkin_steel	stagger	cd55b885-82ae-4587-a44c-1c6b33f8815e	3374e8e0-299c-4072-96af-361e106f7b0b	8	east
plate_steel	attack	bb29d583-464d-4fa2-973d-adbe1fcf45e0	a80582ab-bb13-469e-a2be-2b80bf325830	8	east
plate_steel	hit	bb29d583-464d-4fa2-973d-adbe1fcf45e0	4fe450a5-60a8-4b1b-b5c1-1b276c23c583	6	east
jerkin_unarmed	idle	1adba398-6e5a-4031-aec2-3cc4018edefa	2d5d3630-beb2-417e-9337-67f5061894e8	8	east
jerkin_unarmed	attack	1adba398-6e5a-4031-aec2-3cc4018edefa	3785ec30-1a4d-412a-960b-192b8e15af0e	8	east
jerkin_unarmed	hit	1adba398-6e5a-4031-aec2-3cc4018edefa	636d935f-70c5-4a9d-84de-5774c03b9c7d	6	east
jerkin_unarmed	stagger	1adba398-6e5a-4031-aec2-3cc4018edefa	52ee4bcd-662f-4bf9-8bb5-dad9c5b54ca7	8	east
coat_bronze	idle	da51b983-3c4d-4d1f-93c4-25cc1a8639c6	44eed9e3-1eb6-45c2-90dc-6350deee9e65	8	east
coat_bronze	attack	da51b983-3c4d-4d1f-93c4-25cc1a8639c6	7786b1d0-e2a5-4731-819c-c5380c900919	8	east
coat_bronze	hit	da51b983-3c4d-4d1f-93c4-25cc1a8639c6	289c270f-c3b9-4c79-b5f1-ea1e86129499	6	east
coat_bronze	stagger	da51b983-3c4d-4d1f-93c4-25cc1a8639c6	6e7ee47c-1ab2-432e-8e46-840eaebbde76	8	east
coat_steel	idle	e976bfb9-4a7d-417a-b17f-5374a1df7243	3f44dd04-a524-416f-b40c-92d15bb22614	8	east
coat_steel	attack	e976bfb9-4a7d-417a-b17f-5374a1df7243	7433f55f-c8f1-4bda-bc93-c2e03a04876a	8	east
coat_steel	hit	e976bfb9-4a7d-417a-b17f-5374a1df7243	cd17d5bb-73b0-4c2e-8745-41bb0c33c085	6	east
coat_steel	stagger	e976bfb9-4a7d-417a-b17f-5374a1df7243	04ca3760-6d19-427b-98c5-cd6aaa63424d	8	east
coat_unarmed	idle	128a2449-df04-422b-86b5-3f3360c2be0d	720d17ca-15ae-4887-b38d-5fc839924758	8	east
coat_unarmed	attack	128a2449-df04-422b-86b5-3f3360c2be0d	69d40289-2c1a-4621-94e4-c8f8bf717c10	8	east
coat_unarmed	hit	128a2449-df04-422b-86b5-3f3360c2be0d	14632bbe-d89b-4133-bf20-b27b75a42136	6	east
coat_unarmed	stagger	128a2449-df04-422b-86b5-3f3360c2be0d	f0470786-d61c-4180-8d09-0f97e1fcf0bb	8	east
plate_pick	mine	0f7a53bf-c753-46a7-92c6-9aa50e92d3cd	c3458966-381f-4223-865e-ae1df0e0a617	8	west
jerkin_pick	mine	a104a334-d6c2-472c-93fe-45b6f0e75a5f	56284029-4418-4325-8768-d2034e433864	8	west
coat_pick	mine	f9e0ade5-5f19-4a6f-8ae2-f27a38e4be4c	5d8fbd7f-994f-4d70-909b-b6ccb95c17de	8	west
base_pick	mine	658c5a41-65ff-4091-bf82-6283cc4c6600	284b23b6-2241-4aad-a6c8-38194ee9317b	8	west
plate_axe	woodcut	15139375-c2b3-477c-9ada-e0c8e5dd2117	f5f13dca-237f-4592-a73a-9bdea3aad1ca	8	west
jerkin_axe	woodcut	5ed569b8-509f-40a9-aa84-25f815794355	78af5008-d574-408d-921b-b19d6912e6d5	8	west
coat_axe	woodcut	0489b96d-31f8-4dcf-aea0-e2558f95fd7c	0fbc1267-082f-4acf-a9d1-768bf8cbfb9d	8	west
base_axe	woodcut	0d495dd2-bbe3-4eaa-b25b-289c21ecb155	08503028-4b7b-4c64-ae1c-742ee2733423	8	west
plate_bare	forage	bdb2773b-b78b-4f6a-a47a-e156eb8af53a	2a75905d-dbc0-49fc-9c2b-dcaf4be2b56a	9	west
plate_bare	look_around	bdb2773b-b78b-4f6a-a47a-e156eb8af53a	5675d44d-bb36-44d3-81ab-bf0810bd8d59	7	south
plate_bare	walk_west	bdb2773b-b78b-4f6a-a47a-e156eb8af53a	1d2aaeda-bceb-4510-a6be-7994dfa8784c	6	west
plate_bare	idle_breathe	bdb2773b-b78b-4f6a-a47a-e156eb8af53a	d1f868e7-1c3c-4bbf-ae63-b4bb87ba4a35	8	south
jerkin_bare	forage	7de7cfcb-c1d1-41bd-a457-defcfc729243	1fd1b6f6-1bbd-4bab-9c7b-3554c4a31139	9	west
jerkin_bare	look_around	7de7cfcb-c1d1-41bd-a457-defcfc729243	2086824d-497d-4a65-9f4d-0b7eac385c42	7	south
jerkin_bare	walk_west	7de7cfcb-c1d1-41bd-a457-defcfc729243	e46dde21-14cc-41dc-a57d-90cbba937b91	6	west
jerkin_bare	idle_breathe	7de7cfcb-c1d1-41bd-a457-defcfc729243	d064a5fb-8092-42d2-a5a3-ecd0732bcccd	8	south
coat_bare	forage	a3db12d1-fef9-4bf6-9931-1b5e222ab88c	b8be3769-c05c-4fc6-bf61-790ebb3e8cfa	9	west
coat_bare	look_around	a3db12d1-fef9-4bf6-9931-1b5e222ab88c	a0434bf5-9a6d-4abc-9222-f324a133a9f4	7	south
coat_bare	walk_west	a3db12d1-fef9-4bf6-9931-1b5e222ab88c	03df1df7-ff4e-44d9-955d-00a2a71fb5f7	6	west
coat_bare	idle_breathe	a3db12d1-fef9-4bf6-9931-1b5e222ab88c	5d9fdc3b-d547-424a-962b-03f399e2a238	8	south
plate_unarmed	attack	4cc8f754-8df1-4071-a475-e5c6c581e5cb	97ebea98-fdaf-4155-bea4-80ebeb78cd38	8	east
plate_unarmed	hit	4cc8f754-8df1-4071-a475-e5c6c581e5cb	dd157c47-faf0-4748-b70c-a7a59067afff	6	east
jerkin_steel	attack	cd55b885-82ae-4587-a44c-1c6b33f8815e	cd77c14a-0967-44d3-ab32-0079eb0b7c00	8	east
coat_bronze	attack	da51b983-3c4d-4d1f-93c4-25cc1a8639c6	18f13ca2-723d-4088-bfb8-58c998d8f469	8	east
coat_steel	hit	e976bfb9-4a7d-417a-b17f-5374a1df7243	2abf16ef-cac9-4fe1-bfa3-0c88b148cc17	6	east
coat_steel	stagger	e976bfb9-4a7d-417a-b17f-5374a1df7243	5ef5cc99-fccd-47db-8100-365c65a02781	8	east
coat_pick	mine	f9e0ade5-5f19-4a6f-8ae2-f27a38e4be4c	638571ce-8540-4866-9b12-e2c9797fb006	8	west
base_pick	mine	658c5a41-65ff-4091-bf82-6283cc4c6600	3d0bb1a2-a401-4ab2-bf7a-e79854275959	8	west
plate_axe	woodcut	15139375-c2b3-477c-9ada-e0c8e5dd2117	07333bbc-ff44-4fb8-b142-51cc9cff66bf	8	west
